id,nama,nik,kk,alamat,RT,tanggal_lahir,pekerjaan,created_at
36,drg. Clara Habibi,5535319528736993,2549224299544084,"Gg. Dr. Djunjunan No. 0 Pariaman, SG 01251",3,1974-01-15,Visual merchandiser,2025-02-14 20:58:07
37,Sabrina Simbolon,2937570613215475,3809951054430592,"Gg. Dr. Djunjunan No. 421 Denpasar, PA 48755",6,1980-09-12,Osteopath,2025-02-14 20:58:07
38,Rusman Suartini,1406921773074525,3440675607255235,"Gg. Ahmad Dahlan No. 9 Cilegon, Sulawesi Selatan 14084",1,2000-02-16,"Scientist, clinical (histocompatibility and immunogenetics)",2025-02-14 20:58:07
39,Vera Wastuti,127110514982724,7968115492998716,"Jalan Erlangga No. 701 Serang, BA 70073",7,1951-09-27,"Scientist, forensic",2025-02-14 20:58:07
40,Viktor Gunarto,2300344012301002,2092395355519483,"Gg. Erlangga No. 33 Balikpapan, Riau 73520",1,1991-09-03,Printmaker,2025-02-14 20:58:07
41,Cinthia Anggriawan,6198499769284931,3637712606608149,"Jl. Gegerkalong Hilir No. 0 Pagaralam, Sulawesi Tengah 33619",4,1982-06-26,"Buyer, retail",2025-02-14 20:58:07
42,Keisha Puspita,253405745210578,8456316999373585,"Gang Siliwangi No. 49 Jayapura, Papua Barat 85128",2,1996-01-19,"Education officer, environmental",2025-02-14 20:58:07
43,Cut Indah Prastuti,5808002333422774,2462169635974092,"Jl. Rungkut Industri No. 8 Malang, Sulawesi Tenggara 39588",6,1998-01-15,Dealer,2025-02-14 20:58:07
44,Saadat Hassanah,8393052518775437,6660425245047631,"Jalan Kendalsari No. 21 Blitar, Sumatera Selatan 98723",7,1982-07-25,Patent examiner,2025-02-14 20:58:07
45,"Vicky Sihotang, S.Gz",6070770588680078,3009943385376597,"Jalan BKR No. 604 Bukittinggi, SB 33135",4,1957-07-15,Diagnostic radiographer,2025-02-14 20:58:07
46,Jati Halimah,8079190044936505,6880612112696888,"Gg. Cihampelas No. 95 Langsa, Jawa Barat 06972",5,1987-01-10,Special effects artist,2025-02-14 20:58:07
47,Murti Hariyah,138917322717319,5523879246347572,"Gg. Ciwastra No. 212 Malang, Aceh 23352",8,1985-11-29,"Engineer, agricultural",2025-02-14 20:58:07
48,"Drs. Eka Adriansyah, M.Ak",4328447323543110,1522434505451750,"Jalan W.R. Supratman No. 2 Salatiga, Kepulauan Bangka Belitung 30458",2,1968-10-18,Metallurgist,2025-02-14 20:58:07
49,Martaka Najmudin,7872177439683580,7537820905183175,"Gg. H.J Maemunah No. 44 Kota Administrasi Jakarta Utara, BT 99174",2,1979-02-07,Phytotherapist,2025-02-14 20:58:07
50,Cahyo Widiastuti,3924039100763742,1593524401986169,"Jalan Pelajar Pejuang No. 83 Bengkulu, Banten 76692",1,1968-09-24,Research scientist (maths),2025-02-14 20:58:07
51,"Prabowo Nasyiah, S.IP",6433805645758248,2960594512458999,"Jl. KH Amin Jasuta No. 391 Samarinda, SU 73626",1,1970-12-03,Information officer,2025-02-14 20:58:07
52,"Jinawi Uwais, S.Psi",6796870651982632,4322736686661730,"Jl. M.T Haryono No. 41 Banjarmasin, JK 67346",4,1972-04-16,"Lighting technician, broadcasting/film/video",2025-02-14 20:58:07
53,Kenari Sirait,7146809685725383,290694191572983,"Jl. Raya Setiabudhi No. 33 Padang, SR 24308",1,1992-12-26,Engineering geologist,2025-02-14 20:58:07
54,"Heru Ramadan, M.Pd",6866310123203890,6403905592390387,"Jl. Merdeka No. 804 Purwokerto, Bali 29354",6,1974-04-10,Horticultural consultant,2025-02-14 20:58:07
55,Laras Hutapea,5745926878334595,4021886414098447,"Jalan Kutisari Selatan No. 773 Madiun, YO 56955",9,1946-09-25,Recycling officer,2025-02-14 20:58:07
56,Humaira Lailasari,9108154029704944,5032817644303087,"Jl. Asia Afrika No. 605 Bandung, Sulawesi Barat 01819",4,1965-07-10,Holiday representative,2025-02-14 20:58:07
57,Lulut Sihombing,6975671205487717,2072628216624700,"Gang Pasirkoja No. 2 Kupang, NT 80245",4,1978-12-03,"Psychologist, forensic",2025-02-14 20:58:07
58,Ratna Kusmawati,8247154980959091,4793089654529548,"Gang Cihampelas No. 77 Tebingtinggi, Jawa Timur 17376",1,1954-11-27,"Production assistant, television",2025-02-14 20:58:07
59,"R.M. Akarsana Haryanti, M.TI.",4011082963032871,2235261357018461,"Gg. Jayawijaya No. 528 Banjar, Sumatera Barat 21692",8,1958-01-17,Control and instrumentation engineer,2025-02-14 20:58:07
60,Cengkal Rajasa,581832953320570,5960261394942433,"Jl. Merdeka No. 400 Tual, DKI Jakarta 15257",6,1946-02-24,Petroleum engineer,2025-02-14 20:58:07
61,Mujur Damanik,3860324859756684,2239005818658205,"Gang Merdeka No. 4 Salatiga, Nusa Tenggara Barat 86411",6,1999-10-02,Television floor manager,2025-02-14 20:58:07
62,Prima Sitorus,9329481816185767,1943039005146820,"Jl. Rajawali Barat No. 27 Tangerang, Bali 66930",8,1985-07-07,Investment analyst,2025-02-14 20:58:07
63,Purwanto Hastuti,8311109815755007,1353105753336741,"Jl. Ronggowarsito No. 2 Mataram, Sulawesi Utara 83641",5,1988-02-15,Learning mentor,2025-02-14 20:58:07
64,"R.A. Umi Nugroho, M.TI.",5840057396743488,1033101347391437,"Jalan Cempaka No. 2 Tangerang, ST 47597",5,1994-02-25,Advice worker,2025-02-14 20:58:07
65,Dalimin Gunawan,1612696593490024,8404845174823682,"Jl. Ahmad Yani No. 84 Ambon, SU 35953",7,1953-05-28,Make,2025-02-14 20:58:07
66,Hendra Ardianto,9687009626223745,7701500293637446,"Gang Dr. Djunjunan No. 144 Kendari, GO 05283",8,1976-07-02,"Pharmacist, community",2025-02-14 20:58:07
67,"Eli Permata, M.M.",2437934015765388,7451485496531135,"Jalan Abdul Muis No. 78 Sorong, Kalimantan Barat 44617",4,1987-01-01,"Education officer, museum",2025-02-14 20:58:07
68,R.M. Mustika Susanti,4616533135262886,7323714733699695,"Gang Pasir Koja No. 88 Tangerang Selatan, SR 75109",4,1997-09-16,Environmental consultant,2025-02-14 20:58:07
69,Aisyah Lailasari,9467967487041410,5802012467220298,"Gang Cikutra Timur No. 4 Gorontalo, Papua Barat 82969",7,1948-06-14,Film/video editor,2025-02-14 20:58:07
70,"Hj. Ida Salahudin, M.M.",6986626935926782,2085121962081798,"Gg. Sukajadi No. 980 Pasuruan, NT 74884",9,1947-02-22,Licensed conveyancer,2025-02-14 20:58:07
71,"Setya Anggraini, S.Sos",2773447661775824,4437485523949590,"Gang Ahmad Yani No. 2 Banjarbaru, Sulawesi Barat 54624",7,1992-01-06,Leisure centre manager,2025-02-14 20:58:07
72,KH. Galiono Pertiwi,6011982095298991,3348644672899327,"Gang Moch. Toha No. 9 Lhokseumawe, MU 65319",2,1976-10-14,Information officer,2025-02-14 20:58:07
73,Tiara Ramadan,352019057498571,3370959385787359,"Jl. Abdul Muis No. 381 Madiun, KI 95514",4,1958-03-30,Chartered public finance accountant,2025-02-14 20:58:07
74,"Anom Pradipta, S.Farm",6598695938568796,2204640689833146,"Gang Sukajadi No. 856 Probolinggo, PB 40285",4,1998-07-24,Investment analyst,2025-02-14 20:58:07
75,"Surya Rahimah, S.I.Kom",7617539882585291,9676156201360727,"Gang Ronggowarsito No. 199 Bogor, JA 33209",5,1978-12-28,"Engineer, drilling",2025-02-14 20:58:07
76,Kasusra Rahayu,2612187705413851,8472696564582001,"Jalan M.H Thamrin No. 633 Pagaralam, KB 17278",2,1976-01-09,Travel agency manager,2025-02-14 20:58:07
77,Winda Salahudin,2544579417344650,9926428282286989,"Gg. Pasteur No. 189 Cirebon, KR 77361",1,1998-10-09,"Therapist, speech and language",2025-02-14 20:58:07
78,"R.M. Jaiman Narpati, S.IP",8151597776418344,9360442701316380,"Jalan Abdul Muis No. 70 Palopo, Banten 40127",4,1962-07-14,"Journalist, magazine",2025-02-14 20:58:07
79,Anom Yuniar,4893797790999457,1932608553023331,"Gang Laswi No. 52 Kota Administrasi Jakarta Selatan, Maluku Utara 05960",9,1984-06-30,Adult nurse,2025-02-14 20:58:07
80,Galur Marpaung,7232174327684768,6210052558791720,"Gang Cihampelas No. 7 Gorontalo, Sulawesi Utara 46270",6,1949-06-11,Food technologist,2025-02-14 20:58:07
81,Rina Napitupulu,1926306386399287,5012259776694748,"Gg. Dipatiukur No. 17 Cirebon, Jawa Timur 67930",1,1953-03-03,"Designer, fashion/clothing",2025-02-14 20:58:07
82,R. Sadina Wahyuni,8959742562907861,9173097186618726,"Gang S. Parman No. 94 Kediri, SB 10036",4,1971-07-08,Theatre manager,2025-02-14 20:58:07
83,Gatra Mahendra,9118963582965158,8223106587949977,"Jalan Suniaraja No. 60 Ambon, Sulawesi Utara 94824",3,1959-10-28,Personal assistant,2025-02-14 20:58:07
84,Rahmi Andriani,4530087730456639,551876208800882,"Gg. Pasir Koja No. 9 Magelang, PB 32474",2,1961-03-09,Printmaker,2025-02-14 20:58:07
85,Cager Hakim,6242611630042248,1380226995613064,"Jl. Jamika No. 593 Jayapura, LA 69564",5,1982-03-15,Proofreader,2025-02-14 20:58:07
86,Farhunnisa Prasetyo,8208782346128554,2062709652996993,"Gg. Waringin No. 2 Tegal, SU 39033",1,1963-02-09,Product designer,2025-02-14 20:58:07
87,Puti Fathonah Hidayanto,2579771152115863,7347604012035437,"Jalan Gardujati No. 2 Meulaboh, SU 75681",2,1954-10-28,Production engineer,2025-02-14 20:58:07
88,Lalita Purwanti,8516411026862119,7018481897873163,"Gang S. Parman No. 42 Tomohon, Sumatera Utara 75914",6,1981-08-11,Housing manager/officer,2025-02-14 20:58:07
89,Jaeman Pangestu,9068004251984959,3259808021552744,"Jalan Bangka Raya No. 3 Probolinggo, JK 81025",5,1955-04-17,Politician's assistant,2025-02-14 20:58:07
90,Ihsan Pangestu,1661394465141652,3030515804974310,"Gang Surapati No. 2 Samarinda, DI Yogyakarta 90670",5,1978-06-27,Theatre director,2025-02-14 20:58:07
91,drg. Siska Namaga,6024625624990337,2134287078356349,"Gg. Surapati No. 24 Cimahi, Sumatera Utara 38215",2,1970-10-29,"Surveyor, rural practice",2025-02-14 20:58:07
92,Rika Lailasari,8718908502307300,593713576799478,"Jl. Pasteur No. 066 Samarinda, KB 32339",3,1966-05-13,"Scientist, audiological",2025-02-14 20:58:07
93,"drg. Zulfa Ramadan, S.I.Kom",8539468290021432,4094247705232916,"Jl. Sadang Serang No. 696 Bengkulu, SU 72669",3,1952-04-12,Ceramics designer,2025-02-14 20:58:07
94,"Raharja Namaga, M.Ak",9233193887214163,8160494286092412,"Jalan Merdeka No. 16 Bima, Sulawesi Tenggara 57688",9,1945-04-30,Medical technical officer,2025-02-14 20:58:07
95,Adiarja Dongoran,8217929117412315,4289996120654065,"Gg. Sukajadi No. 11 Surabaya, RI 33009",9,1974-03-08,Tax inspector,2025-02-14 20:58:07
96,"R. Taswir Kusumo, M.Pd",7921113876208835,4726745860858557,"Jl. Kutisari Selatan No. 536 Tebingtinggi, Bengkulu 46617",5,1981-11-26,"Surveyor, mining",2025-02-14 20:58:07
97,Zelda Hassanah,6952602683506874,3069427587949535,"Jalan Siliwangi No. 70 Tegal, Sumatera Selatan 62541",1,1986-02-26,Osteopath,2025-02-14 20:58:07
98,Zamira Laksmiwati,8059778818142651,6819104998052740,"Gg. Asia Afrika No. 113 Mojokerto, RI 32544",5,1988-09-29,"Scientist, research (medical)",2025-02-14 20:58:07
99,R. Salwa Haryanti,2629222490718181,4020165469576962,"Gang Stasiun Wonokromo No. 06 Tanjungbalai, RI 27964",4,1986-08-24,Press sub,2025-02-14 20:58:07
100,"Dr. Lanjar Farida, S.H.",851615575146661,7601840673194282,"Gg. Rajawali Timur No. 785 Tomohon, Kalimantan Barat 72158",7,1993-10-30,Environmental consultant,2025-02-14 20:58:07
